Dataset_Name,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model
dataset_85,prs,2025-01-20 12:53:23,23,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:23,,,,PRSice-2
dataset_86,prs,2025-01-20 12:53:24,116,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:24,,,,AnnoPred
dataset_87,prs,2025-01-20 12:53:25,125,582,prs,migraine,migraine.gz,0,,2025-01-20 12:53:25,,,,LDAK-GWAS
dataset_88,covariates,2025-01-20 12:53:25,152,582,covariates,migraine,migraine_5.gz,0,False,2025-01-20 12:53:25,,,,
dataset_89,pca,2025-01-20 12:53:26,15,582,pca,migraine,migraine_5.gz,0,False,2025-01-20 12:53:26,10.0,,,
dataset_90,genotype,2025-01-20 12:53:26,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:26,,snps_50,False,
dataset_91,genotype,2025-01-20 12:53:28,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:28,,snps_50,True,
dataset_92,genotype,2025-01-20 12:53:30,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:30,,snps_50,True,
dataset_93,genotype,2025-01-20 12:53:30,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:30,,snps_50,True,
dataset_94,genotype,2025-01-20 12:53:30,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:30,,snps_50,True,
dataset_95,genotype,2025-01-20 12:53:32,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:32,,snps_50,True,
dataset_96,genotype,2025-01-20 12:53:34,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:34,,snps_50,True,
dataset_97,genotype,2025-01-20 12:53:35,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:34,,snps_50,True,
dataset_98,genotype,2025-01-20 12:53:35,12,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:35,,snps_50,True,
dataset_99,genotype,2025-01-20 12:53:35,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:35,,snps_200,False,
dataset_100,genotype,2025-01-20 12:53:37,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:37,,snps_200,True,
dataset_101,genotype,2025-01-20 12:53:39,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:39,,snps_200,True,
dataset_102,genotype,2025-01-20 12:53:40,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:39,,snps_200,True,
dataset_103,genotype,2025-01-20 12:53:40,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:40,,snps_200,True,
dataset_104,genotype,2025-01-20 12:53:42,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:42,,snps_200,True,
dataset_105,genotype,2025-01-20 12:53:44,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:44,,snps_200,True,
dataset_106,genotype,2025-01-20 12:53:44,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:44,,snps_200,True,
dataset_107,genotype,2025-01-20 12:53:45,27,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:44,,snps_200,True,
dataset_108,genotype,2025-01-20 12:53:45,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:45,,snps_500,False,
dataset_109,genotype,2025-01-20 12:53:47,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:47,,snps_500,True,
dataset_110,genotype,2025-01-20 12:53:49,44,582,genotype,migraine,migraine_5.gz,0,False,2025-01-20 12:53:49,,snps_500,True,
