Dataset,Model,ML_Parameters,Train AUC,Validation AUC,Test AUC,Train_Val_Gap,Val_Stability,Train_Stability,Composite_Score,Overall_Rank,Train AUC_std,Validation AUC_std,Test AUC_std,Phenotype_first,Dataset_first,Fold_<lambda>,Dataset_Type,Creation_Time,Features,Training_Samples,dataset_type,phenotype,gwas_file,fold,scaling,timestamp,pca_components,snps,weight_file_present,model,Validation AUC_Norm,Train_Val_Gap_Norm,Train_Stability_Norm,Val_Stability_Norm
47,Naive Bayes,{'var_smoothing': 1e-07},0.7595541313278756,0.5192493415276559,0.5130395201558884,0.24030478980021974,0.8514549690705585,0.9692478011793183,0.47556368977200614,1.0,0.03172790155754233,0.17446023139848726,0.08317786107484905,migraine,47,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:06,354,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_5000,True,,0.03849868305531179,0.5186169955548419,0.9692478011793183,0.8514549690705585
48,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,48,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:06,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:06,,snps_10000,False,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
49,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,49,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:10,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:10,,snps_10000,True,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
51,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,51,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:15,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:15,,snps_10000,True,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
52,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,52,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:17,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:16,,snps_10000,True,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
55,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,55,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:26,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:26,,snps_10000,True,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
56,Naive Bayes,{'var_smoothing': 1e-07},0.8834574169642128,0.5777787532923617,0.5042948483741323,0.30567866367185104,0.8938099227471137,0.9754224227490486,0.48258981369102527,1.0,0.025196854898705472,0.11880610692541017,0.07120706433207646,migraine,56,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:27,741,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:27,,snps_10000,True,,0.15555750658472345,0.3881592163742408,0.9754224227490486,0.8938099227471137
57,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.02251910088580933,0.8866791157399107,0.9767516444697574,0.6154231660913811,1.0,0.023801706054831707,0.12780371416047837,0.09379966377994808,migraine,57,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:28,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:27,,snps_annotated_50,False,,0.3287884108867427,0.8848966593604946,0.9767516444697574,0.8866791157399107
58,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.02251910088580933,0.8866791157399107,0.9767516444697574,0.6154231660913811,1.0,0.023801706054831707,0.12780371416047837,0.09379966377994808,migraine,58,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:30,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:30,,snps_annotated_50,True,,0.3287884108867427,0.8848966593604946,0.9767516444697574,0.8866791157399107
60,LightGBM,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.6869133063291807,0.6643942054433714,0.5937523850119758,0.02251910088580933,0.8866791157399107,0.9767516444697574,0.6154231660913811,1.0,0.023801706054831707,0.12780371416047837,0.09379966377994808,migraine,60,"['0', '1', '2', '3', '4']",genotype,2025-01-20 12:51:34,432,582,genotype,migraine,migraine.gz,0,False,2025-01-20 12:51:34,,snps_annotated_50,True,,0.3287884108867427,0.8848966593604946,0.9767516444697574,0.8866791157399107
